Iteration,SampleCount,S_RADIUS,S_RADIUS_Weight
56,49,,
55,141,0.4229591154376998,134
54,80,0.39842254047430553,56
53,37,0.4725367016658535,30
52,26,0.4991378594819551,23
51,112,0.3847498030232028,110
50,91,0.4618623977759252,76
49,138,0.37098786222353286,105
48,151,0.374236975466594,87
47,194,0.3736787486482456,182
46,189,0.3778543419256504,152
45,47,0.31934274119941847,33
44,1211,0.35602949288693164,1206
43,146,0.37689949193180244,9
42,625,0.3337402022373072,623
41,55,0.3372702986462403,3
40,1,,
39,3,0.362917110705944,2
38,2,0.781734968011339,1
37,7,,
36,22,,
35,9,0.3917756037611735,2
34,13,0.4234368359474992,9
33,15,0.9482777315854708,3
32,12,0.4754278192614438,9
31,54,0.2194466642945138,28
30,8,,
29,8,0.41100179173299806,5
28,5,,
27,13,0.31061363414155785,5
26,6,,
25,66,0.18108229291242406,2
24,1,,
23,3,,
19,1,,
16,1,,
