Iteration,SampleCount,S_RADIUS,S_RADIUS_Weight
56,50,,
55,142,0.42123957415100755,136
54,76,0.3818398376466263,54
53,41,0.44307883187988917,32
52,21,0.5187686451651607,20
51,121,0.3897729643640494,116
50,81,0.47253372673836735,72
49,140,0.37570025373679905,103
48,158,0.36776696990322083,92
47,198,0.3836367262031523,191
46,183,0.38733517748796337,155
45,45,0.3306181318764123,34
44,1205,0.36430423699930203,1201
43,152,0.3754240050626262,10
42,603,0.3393037432072582,602
41,77,0.33471289123660636,4
40,1,,
39,3,,
38,1,,
37,7,,
36,26,,
35,5,0.4000297437844065,2
34,12,0.43223808842024053,8
33,16,0.9548765405602159,3
32,11,0.2371591091770278,8
31,56,0.23077861029456795,29
30,7,,
29,8,0.3706458218489669,5
28,5,,
27,13,0.2532600128182195,5
26,6,,
25,67,0.21683362775376921,3
23,3,,
19,1,,
16,1,,
