Iteration,SampleCount,S_RADIUS,S_RADIUS_Weight
56,49,,
55,153,0.08572503970846966,146
54,72,0.04629992860253445,60
53,33,0.0807567377844033,30
52,25,0.11805924951988073,22
51,117,0.04254159755918905,114
50,87,0.16460046171089146,76
49,136,0.0986558587578854,103
48,148,0.08407209552908354,82
47,206,0.04773339674226437,189
46,176,0.046876203918595524,146
45,56,0.04330425139814855,36
44,1210,0.028074417394344544,1208
43,144,0.05126202217411605,9
42,602,0.04799304967855205,600
41,79,0.14903111355373072,4
39,4,0.12996204502602685,3
38,1,,
37,7,,
36,24,,
35,7,0.08932658021105999,2
34,12,0.5764079070440099,8
33,17,0.5486304983937604,4
32,12,0.4505824789544025,10
31,54,0.017805618763252495,29
30,7,,
29,8,0.1652135190154053,5
28,5,,
27,11,0.44252464246907736,3
26,8,,
25,67,0.10489438263504676,3
23,3,,
19,1,,
16,1,,
