Iteration,SampleCount,S_RADIUS,S_RADIUS_Weight
56,51,0.29970463595561,50
55,142,0.09417419589266074,136
54,74,0.0970357571139287,52
53,42,0.011012359080083205,31
52,22,0.053023584930226235,20
51,113,0.03708593810527991,108
50,94,7211768.52225387,77
49,137,0.11803112165963627,105
48,153,0.015458824823068824,89
47,204,0.06807739055862662,194
46,173,0.07541843343950394,148
45,51,0.11279156191282144,33
44,1217,0.12249439800457812,1212
43,142,0.10413644026622551,11
42,607,,
41,72,0.08277100756956751,4
40,1,,
39,3,,
38,1,,
37,6,,
36,26,0.25786846467256547,25
35,6,0.4165542880527786,2
34,12,0.3769050252645992,8
33,17,0.7020220850256369,4
32,11,0.49732767627086427,9
31,50,0.09598635863383352,24
30,12,,
29,9,0.10133262786005637,6
28,4,,
27,13,0.39555198140599634,5
26,6,,
25,67,0.19474691958857462,3
23,3,,
19,1,,
16,1,,
