Iteration,SampleCount,S_RADIUS,S_RADIUS_Weight
56,47,,
55,155,0.3241418971310415,146
54,68,0.3650461655090193,56
53,36,0.4059650821360002,29
52,28,0.584563971861299,24
51,113,0.34458822856864857,112
50,85,0.3509850035402651,72
49,137,0.43290219956388565,100
48,152,0.7367979693121234,83
47,212,0.4361293076708595,196
46,159,0.47184222673765425,136
45,67,0.4199684962174131,37
44,1200,0.24982447153924278,1199
43,155,0.2619027478945955,11
42,618,,
41,60,0.29699687866903446,3
40,2,0.5832732822272686,1
39,3,,
38,1,,
37,7,,
36,26,,
35,5,0.2839342397565954,2
34,13,0.6993071467779448,9
33,16,1.4714991302321807,4
32,11,0.6738614513165152,9
31,54,0.24120840281937694,28
30,8,,
29,9,0.18597269729411703,6
28,4,,
27,13,0.48435045248397857,5
26,6,,
25,67,0.22211581961027996,3
23,3,,
19,1,,
16,1,,
