Iteration,SampleCount,S_RADIUS,S_RADIUS_Weight
56,52,,
55,146,0.3013550267119961,142
54,73,0.3496014376712573,57
53,35,0.3667406961496807,29
52,24,0.6187722070228533,20
51,125,0.3223730331539897,120
50,79,0.3368617826524168,74
49,131,0.44472074665510375,96
48,163,0.7557210730414118,90
47,198,0.441528939834363,189
46,179,0.4973996105353963,149
45,50,0.4364727645729976,33
44,1199,0.2576272779261625,1194
43,159,0.2691492384603902,10
42,622,0.2618447198076419,621
41,58,0.29494106753711935,4
40,1,,
39,3,,
38,1,,
37,6,,
36,27,0.3576732892184433,26
35,5,0.28559313937227193,2
34,10,0.700140742619528,6
33,19,1.4700260219526187,4
32,10,0.7550000000000001,8
31,51,0.23908175401988177,24
30,12,,
29,8,0.18355863502316827,5
28,5,,
27,12,0.4977072378549069,4
26,7,,
25,67,0.22262221781807898,3
23,3,,
19,1,,
16,1,,
