Iteration,SampleCount,S_RADIUS,S_RADIUS_Weight
56,50,,
55,149,0.06027490068665934,143
54,75,0.03359873314211666,60
53,34,0.03989912247633094,31
52,24,0.10645378591641085,22
51,110,0.04185467418545877,107
50,91,0.0508379895103735,73
49,136,0.05838189455634801,100
48,153,0.07575686856708286,84
47,205,0.049258450417602746,190
46,179,0.045929688477326876,150
45,52,0.051862264106115996,36
44,1211,0.03442426189351675,1209
43,143,0.03177174029989191,9
42,601,0.029770409666257904,599
41,79,0.00880946036300112,3
40,2,0.01459153931793028,1
39,3,,
38,1,,
37,6,,
36,29,0.05659538997170409,28
35,3,0.0794706449237072,2
34,13,0.3855954650408661,9
33,16,0.6132366370684024,4
32,12,0.4434476186596868,10
31,55,0.030842337949536204,30
30,6,,
29,8,0.16562661185782196,5
28,5,,
27,13,0.27639392026818604,5
26,6,,
25,67,0.27403712673361846,3
23,3,,
19,1,,
16,1,,
