Iteration,SampleCount,S_HZ_CON1_MIN,S_HZ_CON1_MIN_Weight
56,49,,
55,152,2.8049542154211667e-07,145
54,72,1.5040383494447184e-06,59
53,33,1.6008542301799557e-06,29
52,26,4.670934466836792e-07,22
51,120,0.000354570472001963,117
50,86,0.0003181004822234075,78
49,128,0.0005592254128724663,124
48,151,0.018388680466995655,133
47,214,0.13189607732939468,198
46,170,0.5315007244519387,153
45,59,0.5106163498291877,41
44,1207,,
43,145,0.29091920101064495,9
42,597,0.315724091057203,595
41,84,0.4318970893359374,4
40.0,1.0,,
39.0,3.0,,
38.0,1.0,,
37,7,0.003301394129895663,2
36.0,27.0,,
35,4,,
34,13,,
33,16,,
32,11,0.4878055877537566,1
31,53,0.31020198154192397,25
30,9,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23.0,3.0,,
19.0,1.0,,
16.0,1.0,,
