Iteration,SampleCount,P_ANGULAR_DISTANCE,P_ANGULAR_DISTANCE_Weight
58,68,,
57,171,0.2991848910730687,168
56,81,0.863930869683292,65
55,59,0.7214357307170991,45
54,32,0.35713824839379055,23
53,150,2242.2353695694164,19
52,135,67.52199494266587,111
51,209,65.09910430719918,191
50,203,653.7191951548681,159
49,260,30.94273295664906,217
48,196,5.398505611233206,161
47,64,134.44949015056136,29
46,1373,207.86121468529805,48
45,17,39.90510474280491,2
44,602,0.25267662428023413,601
43,79,,
42.0,1.0,,
41.0,3.0,,
40.0,1.0,,
39,8,56.462130235483876,6
38,34,,
37,2,,
36,16,57.93476194957864,11
35,21,2451.9327211938303,19
34,16,219.8058027196561,3
33,63,69.16990216621663,32
32,7,,
31,15,2890.908226186643,14
30,11,1394.3302760431395,10
29,16,861.5181525559726,9
28,15,11031.085409889596,12
27,77,0.7040591562269657,58
26,9,8794.883195077846,2
25,6,104.73989819036467,2
21.0,1.0,,
20.0,3.0,,
18.0,1.0,,
