Iteration,SampleCount,S_HZ_CON0_MIN,S_HZ_CON0_MIN_Weight
56,51,0.27245726934673326,50
55,142,0.049268636265607256,136
54,82,0.6085272252757086,60
53,33,0.220539827298069,30
52,26,0.11245201121552889,23
51,117,0.10849328921756643,115
50,86,24924303.65227075,76
49,134,0.4681177078840714,128
48,150,0.49155121655347694,136
47,206,0.13795599298590291,193
46,178,0.032495866342963496,156
45,47,0.5218202759753641,32
44,1216,0.37112061201697627,1207
43,142,0.4019175416899509,6
42,617,0.34529685601772986,612
41,67,0.4119838093496656,4
40.0,1.0,,
39.0,3.0,,
38.0,1.0,,
37,7,0.0263490766131399,2
36.0,25.0,,
35,6,,
34,13,,
33,16,,
32,12,0.4413639086173661,2
31,53,0.3906293557714374,26
30,8,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23.0,3.0,,
19.0,1.0,,
16.0,1.0,,
