Iteration,SampleCount,P_RADIUS,P_RADIUS_Weight
56,50,3.7214912244897964,49
55,146,0.7962325899280578,139
54,75,0.2922607142857143,56
53,35,0.09248249999999994,28
52,27,0.07286500000000035,22
51,113,0.1752836363636363,110
50,94,0.07940416666666665,24
49,142,0.10261461538461542,26
48,148,0.06266102564102564,39
47,217,0.058088181818181865,66
46,157,0.05729555555555546,126
45,56,0.034377333333333454,30
44,1213,0.031443586776859524,1210
43,142,0.0071336363636365085,11
42,608,0.007608764415156572,607
41,71,,
40,1,,
39,3,,
38,1,,
37,7,,
36,27,,
35,4,,
34,12,0.07846999999999982,3
33,16,,
32,13,0.018216250000000073,8
31,48,0.0016014285714287852,21
30,13,,
29,8,0.008968000000000042,5
28,5,0.0,2
27,11,0.0,5
26,8,0.0,1
25,65,0.002402142857142908,14
24,2,,
23,3,,
19,1,,
16,1,,
