Iteration,SampleCount,P_RADIUS,P_RADIUS_Weight
56,52,2.5941571557078196,50
55,151,0.9305445209665498,145
54,69,0.529282021912694,56
53,36,0.4922317041873801,29
52,27,0.432748123558821,23
51,113,0.3617663463391786,111
50,95,0.2858220511798764,26
49,139,0.42406505831083174,25
48,149,0.2651579624611755,39
47,216,0.19762011149611525,65
46,150,0.164238665689078,118
45,62,0.10260400936424778,28
44,1217,0.17864594356509672,1212
43,137,0.0859626331058552,8
42,607,0.08484178258045844,603
41,75,,
40,1,,
39,3,,
38,1,,
37,6,,
36,26,0.2693796585368521,25
35,6,,
34,13,0.10895794019453175,4
33,16,0.28678407445509535,1
32,9,0.07655338503123117,5
31,58,0.06094297560801669,28
30,6,,
29,8,0.06555834600814907,5
28,4,0.06500167562996717,1
27,14,0.1750750860837024,7
26,6,0.011821950039877738,1
25,67,0.07434849510265604,16
23,3,,
19,1,,
16,1,,
