Iteration,SampleCount,P_RADIUS,P_RADIUS_Weight
56,51,,
55,149,1.1838338726544406,144
54,71,1.3282706422102606,57
53,34,1.3361585679031907,28
52,27,1.418725126960941,22
51,115,0.9479091119624522,112
50,94,1.0349918401870748,26
49,141,0.9580703205902368,27
48,144,0.7406008031279122,36
47,213,0.7111559245903006,59
46,166,0.7185424206126225,128
45,52,0.48261778930143967,28
44,1209,0.7055502912069184,1204
43,148,0.7265605806443213,11
42,604,0.26495429341190274,603
41,75,,
40,1,,
39,3,,
38,1,,
37,6,,
36,29,0.8367652495700288,28
35,3,,
34,11,0.6438922021243578,2
33,18,0.673858877799093,1
32,11,1.5553645791284985,7
31,56,0.26119650669817474,28
30,6,,
29,8,0.7730646216391491,5
28,5,0.23198866011756258,2
27,12,0.538244681928506,6
26,7,0.0695057119542084,1
25,64,0.4877309506860051,13
24,3,,
23,3,,
19,1,,
16,1,,
