Iteration,SampleCount,P_RADIUS,P_RADIUS_Weight
56,50,,
55,148,0.42338929957069193,142
54,76,0.17647909668572645,60
53,33,0.20981027677415987,30
52,25,0.30235070500589845,22
51,119,0.20844326147143005,116
50,86,0.2071447502573159,22
49,143,0.35932401689071325,25
48,150,0.26894902691349537,40
47,209,0.28800506220841826,59
46,173,0.1383970629889473,135
45,46,0.11970667479440321,29
44,1193,0.1369136649390727,1189
43,161,0.11024865321698599,9
42,610,0.15303467257711642,607
41,71,,
40,1,,
39,3,,
38,1,,
37,6,,
36,27,0.12007898715853328,26
35,5,,
34,13,0.5671757786728628,4
33,16,0.03960737202840825,1
32,11,0.7092328589084202,7
31,55,0.11814794297726042,27
30,7,,
29,8,0.062466716896386255,5
28,5,0.04687770378962974,2
27,12,0.4881339112272401,6
26,7,0.33591126803843374,1
25,66,0.14745278502948847,15
24,1,,
23,3,,
19,1,,
16,1,,
