Iteration,SampleCount,P_RADIUS,P_RADIUS_Weight
56,50,5.3650602448979585,49
55,145,4.442924137812911,138
54,73,4.782199794260721,53
53,43,5.015590105569985,33
52,24,,
51,117,5.245761328144885,116
50,90,4.853498846153846,26
49,138,7.586590891968481,24
48,151,7.457344364544033,40
47,214,7.044084242672994,64
46,158,6.396492380142599,125
45,54,6.421112188547497,27
44,1218,6.064553994462007,1212
43,139,2.3834500360039206,10
42,602,3.3979926450308366,600
41,78,,
40,1,,
39,3,,
38,1,,
37,6,,
36,25,2.1026273330877308,24
35,7,,
34,13,1.0040452499736392,4
33,16,9.37666533224342,1
32,10,4.151755823759454,6
31,55,3.0863656727273865,26
30,8,,
29,7,2.514348786670669,4
28,6,2.601114444408519,2
27,12,2.4990897368491813,6
26,6,,
25,68,3.576189264899993,16
23,3,,
19,1,,
16,1,,
