Iteration,SampleCount,P_RADIUS,P_RADIUS_Weight
56,53,1.9181532208900887,52
55,145,0.9152491673936973,141
54,77,0.4976815644091506,60
53,35,0.47117774735566825,32
52,25,0.47606982448105895,24
51,113,0.34189157545981597,112
50,94,0.31675163623844765,26
49,142,0.636302803822976,28
48,144,0.28115501002676296,37
47,215,0.20408563185409578,62
46,158,0.18934745033262668,123
45,59,0.12699740853022357,30
44,1207,0.17890781022539126,1204
43,148,0.13186446804218022,11
42,594,0.08168654406858675,593
41,85,,
40,1,,
39,3,,
37,8,0.23246330550944877,7
36,27,,
35,4,,
34,13,0.11903342865383482,4
33,16,0.2959012737689424,1
32,11,0.17135218402743405,7
31,55,0.05981126015535637,27
30,7,,
29,9,0.08378251756072012,6
28,4,0.08260464475148122,2
27,13,0.09361272938386037,7
26,6,0.00019814271927942606,1
25,64,0.059983938234350206,13
24,3,,
23,3,,
19,1,,
16,1,,
