Iteration,SampleCount,P_RADIUS,P_RADIUS_Weight
56,53,2.079450910781934,52
55,151,0.9085274030270588,147
54,67,0.501251205951348,56
53,36,0.4921171450530131,29
52,26,0.4810314809488039,22
51,114,0.34748978051105806,111
50,92,0.32333629083419935,23
49,142,0.5035839986921176,25
48,146,0.2884576621803566,36
47,212,0.19159295844134758,58
46,168,0.17859585818422305,129
45,54,0.12007192330060033,31
44,1211,0.18016917848137654,1209
43,143,0.12336505487018737,11
42,602,0.0815918677219411,601
41,77,,
40,1,,
39,2,,
38,1,,
37,8,0.2151104210803891,7
36,25,,
35,6,,
34,13,0.1343072627003563,4
33,16,0.2986718011412641,1
32,10,0.09226590626573787,6
31,54,0.06467291297433297,25
30,9,,
29,8,0.12622429441037294,5
28,5,0.06308136048146573,2
27,13,0.11193222867884045,7
26,6,0.041143168185344026,1
25,66,0.0737281473260675,15
24,1,,
23,3,,
19,1,,
16,1,,
