Iteration,SampleCount,P_RADIUS,P_RADIUS_Weight
56,49,,
55,152,1.1148170509339502e-14,145
54,64,1.4903111424674162e-14,51
53,42,8.660568792584477e-06,30
52,25,4.026769874109316e-07,22
51,122,27.331063316352786,119
50,85,4.781529538937383,24
49,140,7.705684229393682,24
48,149,7.514742929884118,38
47,216,7.223668111427845,64
46,159,6.310972601482358,126
45,53,6.6901558709528155,27
44,1203,6.100865281603901,1197
43,155,3.034780794132206,11
42,608,3.5103310184224443,607
41,71,,
40,1,,
39,2,,
38,2,11.62627588283188,1
37,6,,
36,28,2.1820157688222923,27
35,4,,
34,13,1.0350219971315289,4
33,16,9.298411921269825,1
32,11,3.9377505824343144,7
31,55,3.083169369247272,27
30,7,,
29,9,2.258247690856698,6
28,4,2.6743995567135634,2
27,12,2.5479407060566555,6
26,7,3.358536775846435,1
25,66,3.607999896719787,15
24,1,,
23,3,,
19,1,,
16,1,,
