Iteration,SampleCount,P_RADIUS,P_RADIUS_Weight
56,47,,
55,150,1.3780906292784953,141
54,70,1.0141208048414285,53
53,42,1.1884222771363704,32
52,22,0.9769356459551841,21
51,117,1.088457510139657,113
50,92,0.8544977580503389,25
49,138,1.3034548589419181,23
48,149,1.034493421423906,37
47,219,0.8852516413039292,66
46,158,1.0273067709428594,127
45,52,1.018782056332223,27
44,1215,0.9276690953202356,1209
43,141,0.8218567336960918,9
42,611,0.8579533303842238,608
41,70,,
40,1,,
39,2,,
38,2,1.9865461676882195,1
37,5,,
36,25,1.5208239204235645,23
35,8,,
34,13,0.5848118293851914,4
33,16,1.4940393683058169,1
32,11,1.351074951859777,7
31,55,0.8735362544231288,27
30,7,,
29,9,0.891189086688544,6
28,4,1.1708816224570582,2
27,13,0.6274564664807539,7
26,6,1.1053405138232597,1
25,66,1.0389028293786902,15
24,1,,
23,3,,
19,1,,
16,1,,
