Iteration,SampleCount,P_RADIUS,P_RADIUS_Weight
56,47,,
55,144,2.0217857777777777,135
54,74,1.2727262509803923,51
53,44,1.186864355,32
52,24,1.986934483478261,23
51,112,0.9706222932363637,110
50,95,0.9501545779200001,25
49,140,0.627937638144,25
48,148,0.6302638656000001,38
47,214,0.4968558860283871,62
46,164,0.5834783440649922,129
45,51,0.3631108609142857,28
44,1224,0.44542421176122593,1219
43,131,0.7210822037333334,9
42,608,0.30935130526677684,605
41,73,,
40,1,,
39,3,,
38,1,,
37,7,,
36,23,,
35,8,,
34,13,0.7678849999999997,4
33,16,0.45288400000000095,1
32,11,0.5896460000000002,7
31,55,0.2569664148148147,27
30,7,,
29,9,0.40632513333333325,6
28,4,0.43046399999999996,2
27,12,0.5662993066666666,6
26,7,0.3901080000000001,1
25,64,0.16015468307692307,13
24,3,,
23,3,,
19,1,,
16,1,,
