Iteration,SampleCount,P_RADIUS,P_RADIUS_Weight
56,51,2.824172746478735,49
55,153,0.9344916765768895,146
54,71,0.334787358704614,59
53,34,0.2958084554931084,30
52,26,0.4646067844791531,23
51,115,0.30019142256831066,113
50,91,0.13528086476235585,24
49,141,0.29706301845272776,25
48,147,0.24204442426821385,37
47,216,0.2364187753421867,63
46,163,0.1399356043912172,129
45,52,0.22064023728859444,29
44,1209,0.15253374479309334,1205
43,145,0.10727154675207988,9
42,602,0.11656711958716887,599
41,79,,
40,1,,
39,3,,
38,1,,
37,6,,
36,27,0.3448726422787679,26
35,5,,
34,12,0.6810511461588707,3
33,16,,
32,11,0.3190355700230773,6
31,55,0.1331289158115364,26
30,8,,
29,8,0.04622897820603562,5
28,5,0.06468575869187543,2
27,13,0.3030504930284308,7
26,6,0.006038640821603769,1
25,66,0.1612635290945183,15
24,1,,
23,3,,
19,1,,
16,1,,
