Iteration,SampleCount,P_RADIUS,P_RADIUS_Weight
56,45,,
55,157,4.223031019339242,146
54,68,4.929108300406701,56
53,37,4.875731527838802,30
52,25,4.147363629887556,22
51,114,5.263953172891435,111
50,94,4.786569777354021,25
49,140,7.722165965501594,25
48,151,7.593748931659873,41
47,207,7.107653374565435,58
46,161,6.446307316619043,122
45,60,6.605173142237784,30
44,1214,6.157000570024269,1211
43,140,2.4423023829159263,10
42,614,3.467797282956458,612
41,66,,
40,1,,
39,3,,
38,1,,
37,6,,
36,27,2.162187646726296,26
35,5,,
34,12,0.7076128395405048,3
33,17,9.356649714996811,1
32,11,2.8762359152953856,7
31,51,3.1768064113922874,23
30,11,,
29,8,2.0380439849818734,5
28,4,2.3550314060605064,1
27,14,2.477588552401424,7
26,6,3.30291899358864,1
25,62,3.6219633321980806,11
24,5,,
23,3,,
19,1,,
16,1,,
