Iteration,SampleCount,P_RADIUS,P_RADIUS_Weight
56,48,,
55,155,1.398596677012559,147
54,70,1.0812726742843497,59
53,34,1.224714601419583,30
52,24,1.130721230101813,21
51,114,1.0929763496480578,110
50,95,0.9463903142673269,25
49,142,1.2553166935512314,27
48,147,1.0711713393408064,39
47,214,1.0560817167960233,63
46,163,1.0855033548494366,129
45,51,1.028387670390308,28
44,1203,0.8773460530222591,1198
43,154,0.8488889509239477,11
42,603,0.8857581418667578,602
41,76,,
39,4,1.1119771449038482,3
38,1,,
37,6,,
36,26,1.4479820207544154,25
35,6,,
34,12,0.5083757088393422,3
33,17,1.3946021461477773,1
32,12,1.3443210656171762,8
31,54,0.8722264293068729,27
30,7,,
29,9,0.8677354548318871,6
28,4,1.0938677218918897,2
27,13,0.6617213557731406,7
26,6,1.269235662811264,1
25,64,1.100838115913518,13
24,3,,
23,3,,
19,1,,
16,1,,
