Iteration,SampleCount,P_RADIUS,P_RADIUS_Weight
56,54,,
55,143,1.358479785932503,141
54,73,1.0429722039089606,56
53,32,1.2235618910881765,25
52,30,1.2708110382375277,22
51,119,0.9514350578031259,116
50,87,0.7421004869721983,23
49,145,1.3591909070214445,28
48,144,1.1014023428347806,37
47,216,1.1897105045815604,63
46,161,1.1047853864293573,127
45,52,1.2372038209649698,27
44,1215,0.9771808465911898,1209
43,143,0.7737321973325574,11
42,598,0.8819991277644605,597
41,81,,
40,1,,
39,3,,
38,1,,
37,6,,
36,26,1.4226032131697868,25
35,6,,
34,13,0.5250728524875237,4
33,16,1.1728012483852268,1
32,12,0.7914803453923465,8
31,52,0.6734248655232944,25
30,9,,
29,8,0.5500673855192633,5
28,5,1.3028682381118877,2
27,12,0.4437855642451831,6
26,7,0.39637920398348325,1
25,67,0.5740011686579098,16
23,3,,
19,1,,
16,1,,
