Iteration,SampleCount,P_RADIUS,P_RADIUS_Weight
56,53,2.832956588127433,52
55,139,1.3926328592368589,135
54,80,1.149422678352091,57
53,38,1.2224842877725526,32
52,25,1.253255081866574,24
51,115,0.9891249187412884,114
50,91,0.8491569433695814,25
49,139,1.4892009277706244,24
48,151,1.2038759503926062,40
47,206,1.2825956149620206,56
46,171,1.1302151933625826,130
45,48,1.2530297117777547,26
44,1210,1.073910819378704,1203
43,148,0.8010053616585784,10
42,610,0.9032963569953629,608
41,70,,
40,1,,
39,2,,
38,2,1.4382011894649533,1
37,7,,
36,25,,
35,6,,
34,13,0.5466136207385425,4
33,16,1.1915028545318567,1
32,12,0.7459398695847163,8
31,53,0.6592312240790885,26
30,8,,
29,9,0.481747907427492,6
28,4,1.513378166348714,2
27,13,0.381656417612535,7
26,6,0.19712058371916763,1
25,65,0.4598279618818065,14
24,2,,
23,3,,
19,1,,
16,1,,
