Iteration,SampleCount,P_RADIUS,P_RADIUS_Weight
56,54,2.153566751195633,53
55,141,0.4844937307402181,138
54,76,0.2623742814476496,56
53,37,0.12660560428486006,30
52,26,0.3173364141838294,23
51,113,0.2290894616167752,111
50,94,0.32769983557037585,25
49,143,0.40980297735546495,28
48,147,0.2785099289447026,40
47,210,0.20552540959415272,60
46,161,0.11318803832016786,124
45,55,0.16281602653227012,27
44,1211,0.16782985494770475,1205
43,146,0.1115819663446016,10
42,614,0.1279621939779382,612
41,66,,
40,1,,
39,3,,
38,1,,
37,7,,
36,24,,
35,7,,
34,13,0.32041550437188115,4
33,16,0.039334188201126,1
32,11,0.2041580931374541,7
31,54,0.06964148927360297,26
30,8,,
29,9,0.263397707733894,6
28,4,0.15674339503021517,2
27,10,0.19145585275347593,4
26,8,,
25,65,0.19371710122994892,13
24,3,,
23,3,,
19,1,,
16,1,,
