Iteration,SampleCount,P_RADIUS,P_RADIUS_Weight
56,52,,
55,148,0.5981002083333335,144
54,71,0.2324600000000001,57
53,36,0.1281676666666667,30
52,25,0.07745090909090946,22
51,111,0.1084671296296299,108
50,94,0.09375636363636368,22
49,145,0.11334555555555557,27
48,144,0.05854111111111111,36
47,218,0.04589093750000009,64
46,158,0.06690128,125
45,56,0.05489034482758623,29
44,1222,0.03883004105090317,1218
43,134,0.009171818181818154,11
42,595,0.008624528619528699,594
41,84,,
40,1,,
39,3,,
38,1,,
37,7,,
36,22,,
35,9,,
34,13,0.03082750000000012,4
33,16,0.03363000000000227,1
32,11,0.020818571428571988,7
31,54,0.0038803846153848773,26
30,8,,
29,8,0.015693999999999875,5
28,5,0.0,2
27,13,0.009608571428571553,7
26,6,0.0,1
25,65,0.0016014285714286186,14
24,2,,
23,3,,
19,1,,
16,1,,
