Iteration,SampleCount,P_RADIUS,P_RADIUS_Weight
56,51,3.943939561079133,50
55,149,1.5025738010429797,143
54,75,1.1102555528640747,60
53,33,1.2365523573913286,30
52,25,1.0461715100390916,22
51,119,0.9446383859303675,116
50,90,0.8748511391021538,26
49,141,1.700912579792112,27
48,143,1.2107545917602527,35
47,214,1.1986507189056583,59
46,166,1.0458085455060537,128
45,49,1.116836041867145,25
44,1210,0.96486317754203,1202
43,150,0.7970182287556503,11
42,607,0.980328055015453,606
41,72,,
40,1,,
39,2,,
38,2,1.8730664520939158,1
37,7,,
36,25,,
35,6,,
34,13,0.515588419214573,4
33,16,1.1286894555131877,1
32,10,0.7663962375268657,6
31,56,0.7655957103000548,27
30,7,,
29,9,0.514808409741514,6
28,3,1.527058808969322,1
27,13,0.402766148819083,6
26,7,0.43868343887313244,1
25,64,0.4500556855650538,13
24,3,,
23,3,,
19,1,,
16,1,,
