Iteration,SampleCount,P_RADIUS,P_RADIUS_Weight
56,44,,
55,154,2.005437422535211,142
54,66,1.400918184,50
53,42,1.3393058593103446,29
52,27,2.000152535652174,23
51,112,1.0837312747636365,110
50,96,0.816777846153846,26
49,143,0.5900878440827586,29
48,146,0.5346516232799999,40
47,214,0.48352782414999995,64
46,160,0.6253392331590552,127
45,51,0.3934149844923077,26
44,1207,0.454355523248,1200
43,151,0.6885451040000001,10
42,617,0.3195331005606504,615
41,63,,
40,1,,
39,2,,
38,2,0.35737479999999877,1
37,6,,
36,29,2.1185023125714286,28
35,3,,
34,13,0.7295243800000002,4
33,16,0.5093824000000016,1
32,11,0.9477126171428577,7
31,53,0.23104796479999992,25
30,9,,
29,9,0.4686527333333333,6
28,4,0.3463889999999996,2
27,12,0.5135017013333332,6
26,7,0.44615799999999983,1
25,66,0.15933864106666665,15
24,1,,
23,3,,
19,1,,
16,1,,
