Iteration,SampleCount,P_RADIUS,P_RADIUS_Weight
56,51,,
55,152,0.9573337057490935,147
54,66,0.5459251438267884,55
53,37,0.5009050702790357,29
52,25,0.600325865412772,21
51,116,0.3603950305220331,112
50,91,0.3596674380302087,23
49,139,0.7668164885078441,22
48,151,0.34217613752950693,38
47,208,0.27945329566217797,56
46,167,0.2322355217770547,126
45,50,0.15040772226845175,24
44,1211,0.21335575319340291,1202
43,150,0.1593322615976166,11
42,619,0.09944168960784384,618
41,60,,
40,1,,
39,3,,
38,1,,
37,6,,
36,27,0.29827849920555444,26
35,5,,
34,12,0.10739280267657092,3
33,17,0.2996274825770815,1
32,11,0.20871219344009914,7
31,56,0.07253934195089459,28
30,6,,
29,8,0.07908891207629468,5
28,5,0.0808598886258809,2
27,12,0.12341241067705218,6
26,7,0.07893132387961654,1
25,66,0.09151606377163832,15
24,1,,
23,3,,
19,1,,
16,1,,
