Iteration,SampleCount,P_RADIUS,P_RADIUS_Weight
56,50,,
55,149,1.106806953780156e-14,143
54,70,1.2454683748976757e-14,55
53,33,1.722177955798543e-14,25
52,28,1.8829382497642654e-14,20
51,122,1.2924134696918489e-14,117
50,88,0.0005063869121446052,25
49,142,0.04355842979962322,27
48,144,0.03127270837374341,36
47,215,0.09834375225830677,61
46,165,2.932192255003161,129
45,48,1.7917013237053494,25
44,1212,0.3993923427342727,1204
43,148,0.5092214337011853,11
42,612,0.7075015795288996,611
41,67,,
40,1,,
39,2,,
38,2,6.3149374053617215,1
37,7,,
36,25,,
35,6,,
34,13,1.736889851369091,4
33,16,3.7968380851809265,1
32,12,2.9674807942503736,8
31,53,4.083834437043837,26
30,8,,
29,8,1.0316298880671346,5
28,4,3.76542312168962,1
27,11,3.1626637206609,4
26,9,2.5151240278567117,1
25,66,3.783853277941073,15
24,1,,
23,3,,
19,1,,
16,1,,
