Iteration,SampleCount,P_RADIUS,P_RADIUS_Weight
56,50,4.729933673469388,49
55,152,4.487431454796237,145
54,74,4.699247921933519,61
53,33,4.938354413666545,31
52,26,4.16547580177723,24
51,110,5.304498824055418,109
50,96,4.932301478369123,25
49,141,7.665545315709507,26
48,149,7.584293171760942,40
47,209,6.937673718743464,59
46,168,6.306152764559074,130
45,48,6.636527964816109,26
44,1209,6.093379430998247,1202
43,148,2.6748195894530857,9
42,606,3.4518087951401957,603
41,75,,
40,1,,
39,3,,
38,1,,
37,6,,
36,27,2.2026314881834375,26
35,5,,
34,13,1.0102611834374877,4
33,15,,
32,12,3.9975840805616443,7
31,53,3.096470064045377,25
30,9,,
29,9,2.215064436912165,6
28,3,2.8731914736618456,1
27,13,2.4324350735921434,6
26,7,3.294855310543208,1
25,66,3.5711680901815255,15
24,1,,
23,3,,
19,1,,
16,1,,
