Iteration,SampleCount,P_RADIUS,P_RADIUS_Weight
56,50,,
55,147,1.1792773219724092e-14,141
54,74,1.2422811317647804e-14,57
53,34,9.405175051467397e-15,28
52,25,1.0769163338864018e-14,20
51,117,1.8288941789584052e-14,112
50,91,0.0005597668374233193,23
49,140,0.01626538353558496,23
48,152,0.04570164252608797,40
47,211,0.4205118105543139,61
46,164,0.5790047447815329,128
45,51,0.7118308892572803,27
44,1221,0.11502825640605077,1215
43,136,0.7124538017616484,10
42,604,0.4519710329966218,602
41,76,,
40,1,,
39,3,,
38,1,,
37,6,,
36,26,3.265357196730633,25
35,6,,
34,13,0.6677872144883602,4
33,16,1.2235607546146756,1
32,11,2.7203145234347788,7
31,54,1.741303348674739,26
30,8,,
29,7,0.4997468964428176,4
28,6,3.9076522392218473,2
27,13,0.910622106530004,7
26,6,0.41334336325773013,1
25,66,0.24569756055411524,15
24,1,,
23,3,,
19,1,,
16,1,,
