Iteration,SampleCount,S_SNOW_LINE,S_SNOW_LINE_Weight
56,49,,
55,152,0.00016274995979814286,145
54,69,0.0006936333874470457,56
53,33,0.0004084091768840486,26
52,32,0.0006268256010943285,25
51,111,,
50,90,49.26018495762606,76
49,129,0.06430456090438771,123
48,152,0.044304580357005845,133
47,208,0.0665313169989838,192
46,169,0.10770143096472266,146
45,63,0.07890647912038533,38
44,1225,0.11035700100214738,1222
43,132,0.29801364926920343,11
42,606,,
41,72,1.4731090661977981,3
40,2,,
39,3,,
38,1,,
37,7,0.036221352603030166,2
36,25,,
35,6,,
34,13,,
33,16,,
32,12,1.540737348576686,2
31,54,0.8636619086819186,27
30,7,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
