Iteration,SampleCount,S_SNOW_LINE,S_SNOW_LINE_Weight
56,48,1.5932922974468084,47
55,158,1.2408440283246802,149
54,69,1.3266856931488868,60
53,32,1.5051851233745097,29
52,27,1.573803503871382,23
51,116,1.218394883057071,114
50,82,1.2599942399082726,71
49,140,1.3056997618158213,129
48,146,1.520994124408508,133
47,205,1.4202731367290904,189
46,176,1.6044641298607296,150
45,59,1.502787959061276,38
44,1207,0.9161655269907292,1204
43,150,1.0227668389508013,11
42,615,,
41,64,1.5221231750819588,4
40,1,,
39,3,,
38,1,,
37,7,0.06335551803426842,2
36,26,,
35,5,,
34,13,,
33,16,,
32,12,1.558682911709738,2
31,50,0.9018988635612125,23
30,11,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
