Iteration,SampleCount,S_SNOW_LINE,S_SNOW_LINE_Weight
56,51,,
55,151,0.10167656616093973,146
54,69,0.05366390145294264,57
53,38,0.042567871703408734,32
52,23,0.061097001419385885,22
51,114,0.060515791590714754,111
50,88,0.05636419891190151,74
49,134,0.05001541323589616,126
48,154,0.04572804347022741,138
47,202,0.03438565820765497,191
46,176,0.03187450856074489,152
45,57,0.034820399994514036,38
44,1197,0.025726928610401684,1194
43,159,0.02056847315661987,10
42,614,0.026091562992645045,613
41,65,0.01929469848478771,3
40,2,,
39,3,,
38,1,,
37,7,0.019337704362344166,2
36,28,,
35,3,,
34,13,,
33,16,,
32,12,0.05281473081038879,2
31,55,0.024925975222607085,28
30,6,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
