Iteration,SampleCount,S_SNOW_LINE,S_SNOW_LINE_Weight
56,52,0.9370246585969322,51
55,140,0.42300630563464175,135
54,78,0.4291893069693324,55
53,40,0.5002517112169026,32
52,25,0.4483470892482582,24
51,115,0.34803095367396303,114
50,87,0.4684966281358433,76
49,127,0.4025527198816627,121
48,153,0.35438550908212074,132
47,217,0.42378275237447754,200
46,171,0.46257467022227167,156
45,52,0.5599056381476816,37
44,1217,0.3586332689157248,1213
43,139,0.3798937614247885,9
42,611,0.3314327863482117,609
41,70,0.7524026706771774,4
40,1,,
39,3,,
38,1,,
37,7,0.17374083042600708,2
36,21,,
35,10,,
34,13,,
33,16,,
32,11,0.8655961758504445,1
31,55,0.33208393618415094,27
30,7,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
