Iteration,SampleCount,S_SNOW_LINE,S_SNOW_LINE_Weight
56,48,,
55,149,0.1890197604964539,141
54,71,0.07760447962962962,54
53,39,0.0948867973333334,30
52,24,0.07617586190476203,21
51,117,0.0703992284955752,113
50,87,0.0547395718666667,75
49,139,0.06586824840151517,132
48,141,0.04046635045801525,131
47,213,0.01882322082051281,195
46,178,0.030218384715189932,158
45,50,0.01366745378378384,37
44,1202,0.015912675467445753,1198
43,153,0.0022476349999999146,8
42,623,0.00723060256451617,620
41,59,0.007894799999999869,4
40,1,,
39,3,,
38,1,,
37,7,0.003463500000000508,2
36,25,,
35,6,,
34,13,,
33,16,,
32,12,0.0,2
31,51,0.0001247041666667207,24
30,10,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
