Iteration,SampleCount,S_SNOW_LINE,S_SNOW_LINE_Weight
56,49,1.53160875,48
55,146,1.2144385880139559,138
54,78,1.3295499015666665,58
53,36,1.4440754900875086,31
52,25,1.5477365836594414,23
51,119,1.2263563041843708,117
50,83,1.3359849270833621,75
49,133,1.376201941721621,126
48,144,1.491368569089959,128
47,221,1.4374028247058495,200
46,172,1.581390481045783,157
45,48,1.41290713350864,34
44,1215,0.9259734780919904,1208
43,146,1.0238821192138987,11
42,610,,
41,69,1.5229149192777673,4
40,1,,
39,3,,
38,1,,
37,7,0.064146302249239,2
36,22,,
35,9,,
34,13,,
33,16,,
32,12,1.559460515524373,2
31,52,0.9417524697105888,25
30,9,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
