Iteration,SampleCount,S_SNOW_LINE,S_SNOW_LINE_Weight
56,51,,
55,138,0.12002418777928714,133
54,86,0.10143320835015171,61
53,31,0.10256720734874254,29
52,28,0.17230848212652375,24
51,108,0.09243818140762425,107
50,96,0.3029940404224768,78
49,130,0.13409327148271322,126
48,150,0.06859502423600788,134
47,202,0.09801455331865036,187
46,188,0.0509685930657691,160
45,49,0.08444802755011159,38
44,1221,0.07623516936321958,1218
43,136,0.08357863537419245,11
42,603,,
41,76,0.06985517618915438,4
40,1,,
39,3,,
38,1,,
37,7,0.0687393710038906,2
36,25,,
35,6,,
34,13,,
33,16,,
32,12,0.03699589904784917,2
31,52,0.03580426436005863,25
30,9,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
