Iteration,SampleCount,S_SNOW_LINE,S_SNOW_LINE_Weight
56,49,,
55,145,0.09782656585564153,138
54,82,0.058821775551929044,62
53,31,0.042150302512470726,30
52,23,0.059465963661093815,20
51,118,0.06267342058014191,113
50,90,0.057012500417902,78
49,122,0.04869059390953557,118
48,161,0.04786733994914113,137
47,214,0.0342265502981366,202
46,168,0.03172834098591377,155
45,50,0.03674926762434696,34
44,1224,0.026432352557241863,1217
43,137,0.02169450092050973,11
42,599,,
41,80,0.019319446272975105,4
40,1,,
39,3,,
38,1,,
37,7,0.019684860536538284,2
36,23,,
35,8,,
34,13,,
33,16,,
32,12,0.04983000681306926,2
31,51,0.0221031689508923,24
30,10,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
