Iteration,SampleCount,S_SNOW_LINE,S_SNOW_LINE_Weight
56,50,1.1627435411296034,49
55,152,0.5668317829751545,145
54,71,0.5227966842977159,58
53,35,0.5913611127787989,30
52,28,0.6509262261273503,25
51,107,,
50,88,0.596885522843459,70
49,140,0.4598177028298222,128
48,154,0.44125699710920147,140
47,197,0.46923263377163305,188
46,180,0.46845760829898825,153
45,58,0.46424906974670865,40
44,1216,0.3091529477275179,1215
43,138,0.4705585057323761,10
42,606,0.32404963012400767,605
41,74,0.12018450389473045,4
40,1,,
39,3,,
38,1,,
37,7,0.29804426768017644,2
36,23,,
35,8,,
34,13,,
33,16,,
32,12,0.22823462831484753,2
31,52,0.2559934695475952,25
30,9,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
