Iteration,SampleCount,S_SNOW_LINE,S_SNOW_LINE_Weight
56,45,,
55,160,0.5569264210163665,149
54,60,0.4816475306451426,51
53,41,0.5636233364935427,29
52,26,0.7929681563471492,22
51,119,0.3801682105551894,116
50,83,0.5508665078985547,74
49,139,0.4559135882034465,131
48,148,0.40442851190519963,137
47,200,0.37576577488677193,188
46,177,0.39799598433131916,150
45,59,0.429934502160915,38
44,1207,0.27719487303567225,1204
43,150,0.37171757050659304,11
42,612,,
41,67,0.05279785945499982,4
40,1,,
39,3,,
38,1,,
37,7,0.1477579161844753,2
36,25,,
35,6,,
34,13,,
33,16,,
32,12,0.28433467702453297,2
31,55,0.2557145834452841,28
30,6,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
