Iteration,SampleCount,S_SNOW_LINE,S_SNOW_LINE_Weight
56,53,0.8526788458216843,52
55,143,0.31230861974178586,139
54,78,0.5939818307787331,59
53,32,0.4087685938295095,28
52,27,0.5635016442608332,22
51,114,0.2561668469737897,111
50,91,0.5918252817499207,77
49,127,0.19200617968187553,122
48,159,0.25922279127430486,139
47,204,0.24443505895895062,194
46,176,0.18638154847766777,155
45,52,0.2858392468844115,36
44,1208,0.17855085496515216,1203
43,151,0.1943089603808786,11
42,610,,
41,69,0.11851986344595167,4
40,1,,
39,3,,
38,1,,
37,7,0.06174171168377551,2
36,26,,
35,5,,
34,13,,
33,16,,
32,12,0.08111653338878089,2
31,54,0.06302836184832424,27
30,7,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
