Iteration,SampleCount,S_SNOW_LINE,S_SNOW_LINE_Weight
56,51,0.8203684532527439,50
55,149,0.16197408537007263,143
54,69,1.1576093752682515,54
53,35,0.16974540932692864,26
52,31,1.1707581392428466,24
51,112,1.8193392881042156,111
50,90,17943211.620335437,76
49,138,4.57616909959628,132
48,151,11.288885492929431,141
47,201,0.18152517446390606,193
46,176,0.1951710438340663,154
45,56,1.5404995284232899,39
44,1203,0.9076108377573797,1201
43,153,0.9815771452157955,11
42,604,,
41,74,1.4877843122901593,3
40,2,,
39,3,,
38,1,,
37,7,0.20625577967986342,2
36,28,,
35,3,,
34,13,,
33,16,,
32,11,1.5684450168827198,1
31,54,1.005631670290049,26
30,8,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
