Iteration,SampleCount,S_SNOW_LINE,S_SNOW_LINE_Weight
56,52,1.0505809859642747,51
55,149,0.48373704619842595,144
54,65,0.41725687936231975,51
53,42,0.4619435231409772,30
52,28,0.6002688264447867,25
51,108,,
50,90,0.5187008881306268,73
49,135,0.46803179799090094,126
48,147,0.4109793109777244,131
47,218,0.4325772629153173,200
46,167,0.4351344587151666,152
45,56,0.4567124068789626,37
44,1213,0.32603008190119015,1209
43,143,0.3295489299099666,9
42,618,0.2768431515282697,616
41,62,0.0934165154555077,3
40,2,,
39,3,,
38,1,,
37,7,0.18840828726842496,2
36,24,,
35,7,,
34,13,,
33,16,,
32,12,0.31436597680095235,2
31,53,0.21992333380811113,26
30,8,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
