Iteration,SampleCount,S_SNOW_LINE,S_SNOW_LINE_Weight
56,52,,
55,143,0.4355197753284504,139
54,76,0.4199483898394675,57
53,37,0.4999726060809237,31
52,25,0.43933429897165055,23
51,111,0.35072700757380887,109
50,93,0.44922775998303865,77
49,138,0.4256000782161463,133
48,145,0.3545426522545699,136
47,198,0.40945280817508417,185
46,188,0.4737625272506116,158
45,46,0.5130049470171211,33
44,1226,0.35312294480930273,1218
43,136,0.37670216045207877,11
42,599,,
41,79,0.796876939262456,3
40,2,,
39,3,,
38,1,,
37,7,0.11266267964231491,2
36,25,,
35,6,,
34,13,,
33,16,,
32,11,0.6250009090730728,1
31,54,0.3400590317382528,26
30,8,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
