Iteration,SampleCount,S_SNOW_LINE,S_SNOW_LINE_Weight
56,52,1.122364229089733,50
55,144,0.12832895322335836,138
54,76,0.083323706060165,56
53,36,0.04986976189020172,29
52,27,0.06447267641924173,23
51,110,0.07191077685507236,108
50,93,0.06966534770708754,76
49,135,0.057984788790282654,129
48,141,0.04547746513341758,128
47,214,0.03706205538718786,193
46,176,0.030563031241165182,154
45,52,0.034121247778986834,35
44,1233,0.027957331664273354,1227
43,125,0.026269253522684513,9
42,606,0.02673751131317695,604
41,75,0.013565142684121012,4
40,1,,
39,3,,
38,1,,
37,7,0.02480533822220643,2
36,25,,
35,6,,
34,13,,
33,16,,
32,12,0.055317449127188834,2
31,55,0.025026465703457422,28
30,6,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
