Iteration,SampleCount,S_SNOW_LINE,S_SNOW_LINE_Weight
56,51,,
55,153,0.170650796312865,148
54,72,0.07890908988263448,62
53,30,0.09659587913727705,29
52,25,0.10810038489761843,21
51,117,0.1068863148122703,113
50,87,0.3050135350677275,75
49,132,0.1251606102429039,125
48,153,0.08678636693286208,136
47,212,0.1031588733761011,199
46,168,0.06126892645888933,152
45,56,0.06464707959403398,37
44,1197,0.046349963282966325,1193
43,158,0.11462073214463141,8
42,614,0.06064903335783085,611
41,68,0.14002674005099203,4
40,1,,
39,3,,
38,1,,
37,7,0.04390844425509277,2
36,23,,
35,8,,
34,13,,
33,16,,
32,12,0.12353526892298161,2
31,54,0.0578786921125137,27
30,7,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
